day_number,week,day_in_week,question_count,questions,wrong_first_attempt_questions,wrong_daily_practice_questions
61,9,5,7,"L9Q7; L8Q4; L9Q8; L8Q5; L7Q7; L9Q9; L8Q6","",""
62,9,6,6,"L9Q10; L4Q10; L9Q11; L1Q15; L9Q12; L4Q11","",""
63,9,7,5,"L9Q13; L5Q5; L9Q14; L5Q6; L9Q15","",""
64,10,1,5,"L8Q7; L2Q1; L8Q8; L4Q12; L8Q9","L10Q15","L8Q7"
65,10,2,10,"L8Q7; L6Q1; L8Q10; L6Q2; L10Q15; L7Q7; L5Q15; L6Q3; L8Q11; L9Q1","",""
66,10,3,10,"L10Q1; L4Q9; L8Q12; L9Q2; L10Q2; L6Q7; L8Q15; L9Q3; L10Q3; L4Q13","",""
67,10,4,7,"L10Q4; L8Q13; L10Q5; L4Q14; L10Q6; L8Q14; L9Q4","",""
68,10,5,6,"L10Q7; L9Q5; L10Q8; L8Q7; L10Q9; L9Q6","",""
69,10,6,6,"L10Q10; L5Q8; L10Q11; L2Q15; L10Q12; L5Q9","",""
70,10,7,6,"L10Q13; L6Q4; L10Q14; L6Q5; L10Q15; L2Q2","",""
71,11,1,6,"L9Q7; L5Q10; L9Q8; L5Q11; L9Q9; L6Q15","L11Q15","L9Q7"
72,11,2,10,"L9Q7; L7Q1; L9Q15; L7Q2; L11Q15; L8Q7; L7Q3; L6Q6; L9Q10; L1Q6","",""
73,11,3,10,"L10Q1; L11Q1; L9Q11; L10Q2; L11Q2; L5Q7; L7Q7; L9Q12; L10Q3; L11Q3","",""
74,11,4,8,"L11Q4; L9Q13; L11Q5; L2Q3; L11Q6; L5Q12; L9Q14; L1Q7","",""
75,11,5,10,"L11Q7; L10Q4; L11Q8; L10Q5; L2Q11; L9Q7; L11Q9; L1Q8; L10Q6; L5Q13","",""
76,11,6,7,"L11Q10; L6Q8; L11Q11; L5Q14; L11Q12; L6Q9; L7Q4","",""
77,11,7,6,"L11Q13; L7Q5; L8Q1; L11Q14; L7Q6; L8Q2","",""
78,12,1,5,"L10Q7; L11Q15; L10Q8; L2Q4; L10Q9","L12Q15","L10Q7"
79,12,2,10,"L10Q7; L6Q10; L10Q15; L12Q15; L9Q7; L6Q11; L7Q15; L8Q3; L10Q10; L2Q5","",""
80,12,3,10,"L11Q1; L12Q1; L10Q11; L11Q2; L12Q2; L6Q7; L8Q7; L10Q12; L11Q3; L12Q3","",""
81,12,4,8,"L12Q4; L3Q1; L12Q5; L10Q13; L12Q6; L3Q2; L6Q12; L10Q14","",""
82,12,5,10,"L12Q7; L11Q4; L12Q8; L11Q5; L3Q10; L10Q7; L12Q9; L1Q9; L2Q6; L11Q6","",""
83,12,6,7,"L12Q10; L6Q13; L12Q11; L3Q15; L12Q12; L6Q14; L7Q8","",""
84,12,7,6,"L8Q4; L12Q13; L8Q5; L12Q14; L7Q9; L8Q6","",""
85,13,1,6,"L11Q7; L9Q1; L11Q8; L12Q15; L11Q9; L7Q10","","L11Q7"
86,13,2,6,"L9Q2; L11Q7; L10Q7; L7Q11; L8Q15; L9Q3","",""
87,13,3,6,"L11Q10; L7Q7; L11Q11; L9Q7; L4Q1; L11Q12","",""
88,13,4,5,"L12Q1; L2Q7; L12Q2; L11Q15; L12Q3","",""
89,13,5,7,"L11Q7; L4Q9; L11Q13; L7Q12; L9Q4; L11Q14; L3Q3","",""
90,13,6,6,"L12Q4; L7Q13; L12Q5; L4Q15; L12Q6; L7Q14","",""
91,13,7,6,"L9Q5; L8Q8; L9Q6; L1Q15; L8Q9; L9Q15","",""
92,14,1,5,"L12Q7; L4Q2; L12Q8; L8Q10; L12Q9","","L12Q7"
93,14,2,5,"L10Q1; L12Q7; L11Q7; L8Q11; L10Q2","",""
94,14,3,5,"L10Q3; L12Q10; L8Q7; L10Q7; L12Q11","",""
95,14,4,4,"L3Q4; L12Q12; L3Q5; L3Q6","",""
96,14,5,6,"L12Q7; L5Q7; L12Q15; L8Q12; L12Q13; L1Q10","",""
97,14,6,4,"L8Q13; L12Q14; L4Q3; L8Q14","",""
98,14,7,6,"L10Q4; L9Q8; L10Q5; L2Q15; L9Q9; L10Q6","",""
99,15,1,4,"L2Q1; L10Q15; L4Q4; L1Q11","","L2Q1"
100,15,2,5,"L3Q7; L2Q1; L12Q7; L1Q12; L3Q8","",""
101,15,3,5,"L11Q1; L9Q7; L11Q2; L9Q10; L11Q3","",""
102,15,4,4,"L11Q7; L1Q13; L4Q5; L5Q1","",""
103,15,5,6,"L2Q1; L9Q11; L6Q7; L5Q15; L9Q12; L2Q8","",""
104,15,6,4,"L5Q2; L2Q9; L5Q3; L9Q13","",""
105,15,7,4,"L10Q8; L9Q14; L10Q9; L11Q4","",""
106,16,1,3,"L11Q5; L1Q14; L11Q6","","L11Q5"
107,16,2,3,"L11Q5; L2Q1; L4Q6","",""
108,16,3,5,"L10Q7; L4Q7; L10Q10; L12Q7; L6Q15","",""
109,16,4,4,"L10Q11; L11Q15; L2Q10; L10Q12","",""
110,16,5,4,"L12Q1; L7Q7; L11Q5; L12Q2","",""
111,16,6,3,"L12Q3; L3Q9; L4Q8","",""
112,16,7,3,"L2Q1; L10Q13; L2Q11","",""
